Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 
All Items,107.9,101.9,99.9,100,99.5,99.1,98.7,99.1,99.4,98.3,96,91.7,87.3,85,84.3,79.1,77.5,76.7,76.3,75.1,74.7,74.9,74.6,73.6,73.3,73.2,71.9,70.8,69.5,67.8
Food,108.8,103.3,101.8,100,98.5,97.1,95.7,93.8,92.1,89.5,87.6,85.7,83.1,82,80.2,74.4,72.3,71.2,70.3,69,68.6,68.5,68.3,67.9,67.4,67.2,65.9,64.5,63,60.9
Food Excl Food Serving Services,110,104.5,102.9,100,98.9,97.6,96.3,94.2,93,90.3,88.3,86.1,83.2,81.3,79.4,72.2,69.5,68.1,66.8,64.7,64.3,65,65.3,65,64.2,64.9,63.3,62.3,61.3,59.5
Bread & Cereals,106.7,102.6,101.9,100,98.5,97.1,96.5,95.3,94.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Meat,116.2,105.6,105.3,100,99.8,99.9,99.4,97.2,96.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Fish & Seafood,106.9,101.9,101.1,100,98.6,96,93.6,89.9,88.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Milk, Cheese & Eggs",108.9,103.1,101.7,100,99.6,98.1,97.5,95.9,93.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Oils & Fats,110.5,103.4,101.8,100,99.3,96,95.8,97.5,98,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Fruits,107.8,104.5,101.7,100,97.9,96.2,93.5,91.3,89.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Vegetables,115.3,110.2,105,100,98.1,98.1,96.7,92.9,92,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Sugar, Preserves & Confectionery",109.3,105.9,105.2,100,100.3,98.9,97,95.4,94.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Non-Alcoholic Beverages,110.2,105.3,103.6,100,98.5,97.3,96.8,96.7,96.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Other Food,106.2,102.8,101.3,100,99.5,97.8,96.7,94.5,92.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Food Serving Services,108.2,102.7,101.3,100,98.3,96.9,95.4,93.6,91.6,89,87.3,85.4,83.1,82.5,80.7,76,74.5,73.6,73.1,72.3,71.9,71.3,70.5,70.1,69.8,68.8,67.7,66,64.1,61.7
Restaurant Food,107.6,102.6,101.5,100,98.2,96.6,95.4,93.3,90.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Fast Food,107,102.9,101.4,100,98.5,98.2,97.1,95,93.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hawker Food,108.7,102.8,101.3,100,98.4,96.9,95.3,93.7,91.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hawker Centres,109.1,103,101.6,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Food Courts & Coffee Shops,108.5,102.7,101.2,100,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Catered Food,107,102.3,101.6,100,95.4,94.5,93,92.2,92,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Clothing & Footwear,92.9,90.4,96,100,100.7,99.3,98.9,98.7,98.5,99.4,99.1,97.8,97.7,97.1,96.2,94.8,94.2,93.5,93.4,93.3,92.8,92.3,92,92.9,94.8,96.1,95.3,94.8,93.4,91.2
Clothing,93.2,90.4,96.1,100,101.1,100.1,100.1,99.2,99.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Other Articles & Related Services,100,96.7,99.3,100,100.4,99.7,98.4,98.2,98.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Footwear,91.1,89.1,95,100,99.4,96.8,95.1,97.1,95.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Housing & Utilities,106.8,101.2,99.7,100,101.2,102.7,105.4,110.1,114.1,113.6,109.9,100.5,91.6,89.2,86.6,75.4,75.5,72.9,71.9,71.8,71.6,73.1,71.8,69.3,69.5,67.9,66.5,65.9,65.3,64.6
Accommodation,106.5,102,100.4,100,101.2,104.7,109.3,113.5,116.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Utilities & Other Fuels,108.2,95.5,94.7,100,101.2,91.6,84.3,91.9,101.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Water Supply,100,100,100,100,93.6,81.5,75.7,75.7,75.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Electricity,111.1,91.4,90.8,100,105.9,95.9,87.8,100.9,118.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gas,112,101.9,96.6,100,99.9,95.2,88.5,92.9,104.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Household Durables & Services,103.8,101.7,100.3,100,99.4,98.8,97.9,96.3,96.9,95.5,91.2,89.2,84,83.2,82.3,80.4,80.1,80.5,82.6,82.9,83.4,84,84.4,84.9,85.1,84.7,84.8,84.3,80.8,80.1
Household Durables,104.7,101.6,100,100,100.5,100.9,102,101.7,101.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Household Services & Supplies,103.1,101.7,100.5,100,98.7,97.3,95.2,92.6,93.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Health Care,101.2,99,98,100,99,97,94.5,93.5,93.8,91.3,88,84.2,82.4,80.9,79.5,75.3,72.3,71.6,71.3,67.2,66,64.1,62.3,61.4,61.5,59.2,57.2,56.2,55.4,53.9
Medicines & Health Products,99.7,98.5,98.5,100,100.8,100.3,100.3,100.3,99.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Outpatient Services,98.8,95.9,95.6,100,98.8,97,94.6,92,96.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hospital Services,104.2,102.5,101.2,100,97.9,94.2,90.1,89.8,87.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Health Insurance,106.8,104.8,100,100,99.9,99.5,98,97.5,97.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Transport,124.7,107.6,99.6,100,99.6,100.3,98,100,100.3,101.4,99.2,92.7,83.3,76.1,78.5,75.1,73.2,74.1,75.7,76,76.3,76.9,79.9,78,77.1,78.8,76.2,75.3,73.8,71.2
Private Transport,130.5,109.6,98.6,100,100.5,101.4,97,99.5,100.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Cars,145.8,115.9,101.4,100,100.6,108.6,109.8,115.2,114.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Petrol,129.7,109,92.6,100,100,93.7,85.8,89.4,94,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Public Transport,112.4,105.2,103.5,100,97.4,98.5,101,101.3,99.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bus & Train Fares,109.3,107,107,100,95.8,97.9,102.1,103.1,100.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Point-To-Point Transport Services,118.7,103.7,99,100,100,100,100,99.7,99.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Other Transport Services,115.1,99.9,96.2,100,99.1,96.4,96.4,99.3,103.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Communication,98.8,100.1,100.7,100,100.9,101.9,101.4,101.8,101.5,101.7,103.2,103.3,104.8,107.2,107,106.8,105.9,107,108.3,108.4,107,107.3,110.2,113.8,115.1,119.2,121.7,122.4,125,124.7
Postage & Courier Services,97.1,93,102.5,100,100,100,100,100,95.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Telecommunication Equipment,98.8,95,98.6,100,111.2,118,119.1,117.5,117.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Telecommunication Services,98.8,100.4,100.8,100,100.5,101.3,100.6,101.1,100.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Recreation & Culture,103.8,99.4,98.5,100,99,97.9,97.6,96.8,96.4,94.6,93.4,92.5,94.8,94.1,95,91.8,89.4,90,89.3,88,89.4,89.3,87.3,86.6,87.4,90.6,91.5,90.4,89.4,88.1
Recreational & Cultural Goods,100.8,98.8,98.9,100,101.3,101.7,102.7,103.3,103.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Recreational & Cultural Services,105.7,100.8,99.7,100,98.7,97.6,97,96.9,96.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Newspapers, Books & Stationery",101.2,100.6,100.3,100,99.8,99.8,98.6,93.5,92.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Holiday Expenses,103.8,98.8,97.5,100,98.1,96,95.8,94.6,94.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Education,102.1,100.1,98.9,100,97.7,95,92.2,89.5,86.8,83.9,81,77.9,75.1,72.6,72.3,69.1,67.2,65.2,63.1,61,59.1,57.8,55.6,54.1,51.9,49.6,48.3,46.2,44.4,42.9
Tuition & Other Fees,102.1,100.1,98.9,100,97.6,94.9,92.1,89.4,86.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Textbooks & Guides,101,100.6,100.6,100,100.7,100.7,100,98.8,97.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Miscellaneous Goods & Services,99,98.4,98.9,100,99.6,98.2,98.3,98.1,98,96.7,95.5,94.8,94,93.4,93.1,91.3,89.3,87.2,83.4,78.2,74.2,74.3,71.5,70,68.8,67.5,66.4,65.3,64.3,62.4
Personal Care,100,98.4,100,100,99.2,99.2,100.4,100.4,100.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Alcoholic Drinks & Tobacco,100.2,98.9,99.1,100,99.4,94.3,94.1,93.8,92.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Personal Effects,98.1,96.3,93.9,100,100.7,101.6,99.2,98.1,99.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Social Services,94.9,95.4,97.1,100,99.8,98,97.9,97.5,94.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Other Miscellaneous Services,96.6,100.6,100.1,100,100.1,100,99,99,98.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Imputed Rentals On Owner-Occupied Accommodation,108,101.8,99.7,100,99.2,97.9,96.3,95.9,95.7,94.4,92.8,89.7,86.3,83.8,84.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Accommodation,108.2,101.9,99.7,100,99.2,97.8,96.1,95.7,95.4,94.2,92.6,89.6,86.3,83.7,84.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
